 ID                     ,WJM,ZP
1,4,5
2,5,5
3,4,5
4,5,5
5,5,5
6,5,5
7,4,4
8,4,3
9,5,5
10,4,5
11,4,4
12,4,5
13,4,5
14,5,5
15,4,4
16,4,5
17,4,5
18,4,5
19,4,5
20,5,5
21,4,4
22,4,5
23,4,5
24,3,4
25,4,5
26,4,4
27,4,4
28,4,5
29,4,4
30,4,4
31,4,5
32,5,5
33,5,5
34,5,5
35,4,5
36,3,3
37,4,5
38,3,4
39,3,4
40,4,4
41,4,4
42,4,5
43,4,5
44,4,4
45,4,5
46,4,5
47,5,5
48,5,5
49,4,4
50,4,4
51,4,5
52,4,4
53,5,4
54,4,4
55,4,5
56,4,5
57,4,5
58,4,4
59,4,4
60,4,4
61,4,4
62,4,5
63,2,1
64,1,2
65,4,3
66,4,5
67,4,4
68,4,5
69,4,5
70,3,4
71,3,3
72,4,5
73,4,5
74,4,4
75,4,4
76,5,5
77,5,5
78,5,5
79,1,1
80,5,5
81,5,5
82,5,5
83,1,5
84,5,4
85,1,1
86,5,5
87,5,5
88,5,5
89,5,1
90,5,5
91,5,5
92,5,5
93,5,5
94,1,1
95,5,5
96,4,5
97,4,4
98,3,5
99,4,4
100,4,5
101,4,4
102,4,5
103,4,5
104,4,5
105,4,5
106,4,4
107,4,5
108,4,4
109,4,5
110,4,4
111,4,5
112,4,4
113,4,5
114,4,5
115,4,5
116,4,4
117,4,4
118,4,5
119,4,4
120,5,5
121,5,5
122,4,4
123,1,1
124,3,4
125,3,3
126,4,3
127,4,5
128,3,3
129,4,3
130,4,4
131,4,4
132,3,3
133,4,3
134,4,4
135,4,5
136,4,5
137,4,4
138,4,5
139,4,4
140,4,4
141,4,3
142,4,5
143,3,4
144,4,5
145,4,4
146,4,5
147,4,5
148,4,3
149,3,4
150,4,4
151,1,1
152,3,3
153,4,5
154,4,4
155,4,4
156,4,4
157,1,2
158,4,3
159,5,5
160,5,5
161,4,4
162,4,5
163,5,5
164,4,4
165,3,4
166,4,4
167,5,4
168,4,5
169,3,4
170,5,5
171,3,3
172,3,3
173,4,5
174,5,5
175,4,4
176,4,5
177,2,3
178,4,3
179,4,5
180,5,5
181,4,4
182,3,3
183,4,5
184,4,4
185,4,4
186,5,4
187,4,5
188,4,5
189,5,4
190,4,5
191,4,5
192,4,5
193,3,3
194,4,5
195,4,5
196,2,2
197,4,4
198,2,2
199,5,4
200,3,4
201,4,5
202,4,4
203,4,4
204,4,4
205,1,2
206,3,3
207,2,3
208,2,3
209,2,2
210,4,3
211,4,3
212,5,5
213,4,5
214,4,4
215,4,3
216,4,5
217,1,1
218,1,1
219,5,5
220,4,5
221,5,5
222,4,5
223,4,5
224,1,1
225,4,5
226,1,1
227,4,5
228,4,5
229,4,1
230,4,5
231,5,5
232,4,5
233,1,1
234,1,1
235,4,5
236,4,5
237,1,1
238,1,1
239,4,5
240,4,5
241,4,5
242,4,5
243,4,5
244,4,5
245,4,4
246,4,5
247,4,4
248,4,5
249,4,5
250,4,4
251,5,5
252,3,3
253,4,5
254,4,4
255,3,3
256,4,5
257,3,4
258,5,5
259,4,4
260,4,5
261,5,5
262,4,5
263,4,5
264,4,5
265,4,4
266,3,4
267,4,5
268,3,4
269,4,4
270,3,5
271,4,5
272,3,4
273,2,3
274,3,4
275,4,5
276,3,4
277,5,4
278,5,5
279,4,5
280,4,5
281,4,3
282,4,3
283,4,5
284,5,4
285,4,5
286,5,5
287,4,5
288,2,4
289,4,5
290,3,4
291,4,4
292,4,5
293,3,4
294,4,5
295,4,4
