ID,WJM,ZP
1,4,5
2,5,5
3,4,5
4,5,5
5,5,4
6,5,4
7,4,4
8,4,5
9,5,5
10,3,3
11,4,4
12,4,4
13,3,5
14,4,5
15,4,4
16,4,5
17,4,5
18,4,5
19,4,5
20,4,5
21,5,5
22,5,5
23,5,5
24,5,5
25,5,5
26,2,3
27,2,2
28,4,5
29,4,3
30,4,4
31,5,5
32,4,5
33,5,5
34,4,5
35,4,3
36,3,3
37,4,5
38,4,4
39,4,4
40,4,4
41,4,4
42,4,5
43,4,4
44,3,3
45,4,4
46,4,5
47,4,4
48,4,5
49,4,4
50,4,4
51,4,5
52,4,5
53,4,4
54,4,4
55,4,3
56,1,2
57,1,1
58,4,4
59,4,5
60,4,4
61,3,3
62,4,5
63,3,2
64,3,3
65,4,4
66,4,5
67,4,4
68,4,5
69,4,5
70,3,4
71,3,3
72,4,5
73,4,5
74,4,4
75,4,4
76,5,5
77,5,5
78,1,1
79,5,5
80,5,5
81,5,5
82,5,5
83,1,1
84,5,5
85,1,1
86,1,1
87,5,5
88,5,5
89,1,1
90,5,5
91,5,5
92,5,5
93,5,5
94,1,1
95,1,1
96,4,5
97,4,4
98,4,5
99,5,5
100,4,5
101,5,5
102,4,4
103,4,5
104,4,4
105,4,5
106,3,4
107,4,5
108,4,4
109,4,5
110,4,5
111,4,5
112,4,4
113,4,4
114,4,5
115,4,4
116,4,4
117,4,4
118,4,5
119,4,5
120,4,5
121,5,5
122,5,4
123,4,5
124,4,5
125,2,1
126,4,4
127,4,4
128,4,4
129,3,3
130,4,5
131,4,4
132,3,3
133,1,5
134,3,3
135,4,4
136,4,4
137,3,3
138,3,3
139,1,1
140,4,5
141,4,4
142,4,4
143,3,4
144,4,5
145,4,4
146,4,5
147,4,5
148,4,3
149,1,1
150,4,4
151,1,1
152,5,5
153,1,1
154,5,5
155,5,5
156,5,5
157,5,5
158,5,5
159,5,5
160,1,1
161,5,5
162,5,5
163,5,5
164,5,5
165,1,1
166,5,5
167,5,5
168,5,5
169,5,5
170,1,1
171,5,5
172,5,5
173,1,1
174,1,1
175,5,5
176,5,5
177,2,2
178,5,5
179,5,5
180,5,5
181,3,3
182,4,4
183,4,4
184,3,3
185,3,3
186,4,3
187,4,4
188,1,1
189,4,4
190,3,2
191,4,3
192,3,3
193,1,1
194,4,4
195,4,4
196,4,4
197,3,3
198,4,4
199,4,3
200,3,3
201,3,4
202,4,4
203,3,3
204,3,3
205,3,2
206,4,4
207,4,4
208,3,4
209,3,2
210,4,4
211,4,4
212,4,3
213,4,4
214,4,5
215,5,4
216,4,4
217,4,4
218,1,1
219,5,4
220,1,1
221,4,3
222,1,1
223,1,1
224,4,4
225,2,1
226,1,1
227,3,3
228,5,5
229,2,2
230,4,4
231,2,2
232,4,3
233,5,5
234,2,2
235,4,4
236,5,5
237,4,4
238,5,4
239,4,4
240,5,4
241,4,3
242,5,4
243,2,2
244,3,2
245,5,5
246,3,3
247,5,4
248,4,4
249,2,2
250,4,4
251,4,3
252,1,1
253,4,4
254,3,3
255,3,2
256,5,5
257,3,2
258,3,3
259,4,4
260,5,4
261,2,2
262,4,4
263,3,4
264,4,4
265,4,4
266,4,4
267,5,4
268,4,4
269,3,3
270,5,5
271,4,4
272,4,3
273,3,3
274,4,4
275,4,4
276,3,2
277,1,1
278,4,4
279,5,4
280,2,2
281,5,4
282,5,4
283,4,3
284,4,4
285,4,4
286,2,2
287,1,1
288,1,1
289,3,4
290,4,5
291,3,4
292,5,5
293,4,4
294,3,4
295,4,4
