 ID               ,WJM,ZP
1,5,5
2,5,5
3,4,5
4,4,5
5,4,5
6,5,5
7,4,4
8,4,5
9,5,5
10,4,3
11,4,5
12,4,4
13,5,5
14,4,5
15,4,4
16,3,5
17,4,5
18,4,5
19,5,5
20,5,5
21,4,5
22,5,5
23,5,5
24,4,5
25,4,5
26,3,3
27,4,3
28,4,5
29,4,5
30,4,5
31,5,5
32,5,5
33,4,5
34,4,4
35,4,4
36,1,1
37,4,5
38,4,5
39,5,5
40,3,3
41,3,3
42,4,4
43,5,5
44,5,5
45,4,5
46,5,5
47,5,5
48,4,5
49,3,4
50,4,5
51,5,5
52,4,5
53,5,5
54,3,4
55,4,5
56,3,3
57,4,5
58,5,5
59,4,5
60,4,4
61,5,5
62,4,5
63,4,4
64,2,2
65,4,4
66,4,5
67,5,5
68,5,5
69,4,5
70,3,4
71,3,3
72,4,5
73,5,5
74,5,5
75,5,5
76,5,5
77,5,5
78,1,1
79,1,1
80,5,5
81,5,5
82,5,5
83,1,1
84,5,5
85,1,1
86,1,1
87,5,5
88,5,5
89,1,1
90,5,5
91,5,5
92,5,5
93,1,1
94,1,1
95,1,1
96,5,5
97,5,4
98,5,5
99,5,5
100,5,5
101,4,5
102,5,5
103,5,5
104,5,5
105,5,5
106,4,4
107,4,5
108,5,4
109,4,4
110,4,4
111,5,5
112,5,4
113,3,3
114,4,4
115,5,5
116,4,5
117,4,4
118,4,5
119,4,4
120,4,5
121,5,5
122,5,4
123,5,5
124,3,3
125,4,4
126,4,4
127,4,5
128,4,4
129,3,3
130,5,5
131,4,4
132,5,4
133,5,4
134,4,4
135,4,4
136,4,4
137,4,4
138,4,4
139,4,5
140,4,4
141,4,5
142,4,5
143,3,4
144,4,4
145,5,4
146,4,4
147,4,5
148,4,5
149,4,5
150,4,4
151,1,1
152,4,4
153,5,5
154,4,4
155,5,4
156,5,5
157,5,5
158,5,5
159,3,3
160,5,5
161,4,5
162,5,4
163,5,5
164,5,5
165,4,4
166,5,5
167,4,5
168,3,5
169,4,3
170,4,2
171,3,5
172,4,4
173,5,5
174,5,4
175,5,4
176,4,3
177,3,3
178,4,3
179,3,3
180,5,4
181,5,5
182,5,5
183,5,4
184,3,2
185,4,5
186,4,5
187,5,4
188,5,5
189,5,5
190,5,5
191,3,3
192,4,4
193,5,4
194,4,5
195,4,5
196,2,1
197,1,1
198,3,2
199,5,4
200,2,3
201,4,4
202,5,4
203,5,5
204,4,4
205,4,5
206,5,3
207,1,3
208,2,3
209,3,3
210,5,5
211,4,3
212,4,4
213,4,4
214,5,5
215,4,4
216,5,5
217,1,1
218,1,1
219,5,5
220,5,5
221,2,1
222,5,5
223,5,5
224,1,1
225,5,5
226,5,5
227,5,5
228,5,5
229,1,1
230,5,5
231,5,5
232,5,5
233,1,1
234,1,1
235,5,5
236,5,5
237,1,1
238,1,5
239,5,5
240,5,5
241,5,4
242,1,1
243,5,5
244,5,5
245,5,4
246,5,4
247,3,4
248,3,4
249,3,5
250,3,3
251,5,3
252,3,4
253,1,5
254,5,5
255,5,5
256,5,5
257,4,5
258,5,5
259,5,4
260,5,5
261,5,5
262,5,5
263,5,4
264,3,3
265,3,4
266,4,5
267,4,4
268,2,4
269,4,4
270,4,4
271,5,4
272,5,3
273,3,4
274,2,3
275,4,4
276,5,4
277,2,1
278,5,5
279,5,5
280,4,5
281,2,2
282,1,2
283,5,5
284,5,5
285,4,4
286,4,4
287,4,4
288,3,3
289,5,5
290,3,4
291,4,3
292,4,5
293,1,3
294,5,5
295,3,3
