 ID                     ,WJM,ZP
1,3,3
2,3,3
3,4,5
4,4,4
5,2,2
6,4,3
7,1,1
8,4,4
9,3,3
10,2,2
11,4,5
12,4,5
13,3,4
14,3,3
15,4,4
16,4,5
17,4,3
18,4,5
19,3,4
20,3,3
21,3,4
22,4,5
23,4,3
24,1,2
25,1,2
26,4,4
27,3,4
28,4,4
29,4,3
30,4,3
31,2,4
32,4,4
33,4,5
34,4,3
35,1,2
36,4,4
37,4,4
38,3,3
39,3,3
40,4,4
41,3,3
42,2,4
43,4,5
44,3,4
45,4,5
46,3,3
47,4,5
48,4,5
49,3,4
50,4,5
51,4,5
52,1,1
53,4,5
54,4,3
55,4,3
56,3,3
57,4,3
58,4,4
59,2,3
60,4,3
61,1,2
62,4,3
63,3,3
64,2,2
65,4,3
66,4,5
67,4,4
68,3,4
69,4,3
70,4,4
71,3,3
72,2,2
73,4,3
74,3,3
75,2,3
76,5,5
77,5,5
78,5,5
79,1,1
80,5,5
81,5,5
82,5,5
83,1,1
84,5,5
85,1,1
86,5,5
87,1,1
88,1,1
89,5,5
90,5,5
91,1,1
92,5,5
93,5,5
94,1,1
95,5,5
96,4,3
97,4,3
98,3,3
99,4,3
100,4,4
101,2,2
102,3,3
103,4,5
104,3,3
105,4,5
106,4,4
107,3,3
108,4,3
109,2,3
110,4,3
111,4,4
112,4,4
113,3,3
114,4,5
115,4,3
116,4,4
117,3,3
118,2,3
119,3,4
120,3,3
121,4,5
122,4,3
123,4,5
124,2,2
125,2,2
126,3,3
127,3,3
128,3,3
129,4,3
130,3,3
131,4,3
132,3,3
133,2,2
134,4,4
135,4,4
136,4,3
137,4,3
138,4,3
139,4,3
140,3,3
141,4,3
142,4,4
143,2,2
144,3,3
145,4,4
146,4,4
147,4,5
148,2,2
149,3,4
150,1,2
151,3,3
152,2,3
153,4,5
154,4,4
155,2,2
156,4,5
157,1,1
158,1,2
159,4,5
160,3,4
161,4,3
162,3,3
163,4,3
164,3,2
165,1,2
166,2,2
167,3,3
168,4,3
169,3,2
170,3,2
171,3,4
172,2,3
173,4,4
174,4,4
175,4,4
176,3,4
177,3,2
178,4,4
179,4,4
180,4,4
181,3,3
182,4,2
183,3,2
184,4,2
185,5,5
186,4,5
187,4,4
188,4,3
189,4,3
190,4,5
191,3,2
192,4,3
193,4,5
194,4,5
195,4,5
196,1,2
197,3,2
198,2,3
199,4,2
200,2,2
201,4,4
202,4,4
203,4,4
204,4,4
205,4,4
206,3,3
207,2,2
208,3,3
209,1,2
210,4,3
211,2,2
212,3,2
213,3,4
214,3,3
215,4,3
216,4,5
217,1,1
218,4,5
219,4,5
220,4,5
221,5,5
222,4,5
223,4,5
224,1,1
225,4,5
226,4,5
227,4,5
228,4,5
229,1,1
230,4,5
231,1,1
232,4,5
233,4,5
234,1,1
235,4,5
236,4,5
237,1,1
238,1,1
239,4,5
240,4,5
241,4,5
242,4,5
243,5,5
244,4,5
245,5,4
246,3,3
247,5,4
248,4,4
249,3,3
250,5,3
251,4,5
252,4,4
253,3,4
254,2,2
255,4,3
256,2,2
257,1,2
258,4,4
259,3,4
260,4,3
261,4,3
262,4,4
263,3,3
264,3,3
265,4,4
266,4,3
267,4,3
268,3,2
269,4,3
270,3,3
271,3,2
272,4,4
273,2,2
274,3,3
275,4,2
276,1,2
277,1,1
278,4,4
279,3,5
280,3,4
281,5,3
282,3,2
283,4,4
284,4,3
285,3,4
286,4,3
287,3,3
288,2,3
289,5,5
290,3,4
291,3,4
292,4,5
293,3,3
294,3,2
295,4,3
