ID,WJM,ZP
1,4,4
2,4,4
3,4,5
4,4,5
5,5,4
6,5,5
7,5,4
8,1,1
9,3,4
10,4,3
11,2,3
12,2,3
13,4,5
14,5,5
15,4,4
16,4,5
17,4,5
18,5,5
19,4,5
20,4,4
21,4,5
22,5,5
23,4,5
24,4,4
25,3,3
26,4,3
27,2,3
28,4,4
29,4,3
30,4,4
31,3,3
32,4,5
33,4,5
34,4,5
35,4,5
36,4,4
37,4,4
38,5,4
39,2,3
40,4,3
41,1,1
42,3,5
43,2,3
44,4,4
45,4,5
46,4,5
47,4,5
48,3,3
49,4,3
50,5,5
51,5,5
52,4,4
53,4,5
54,4,4
55,3,3
56,3,2
57,4,4
58,4,4
59,1,2
60,4,3
61,3,2
62,4,4
63,3,3
64,4,4
65,4,3
66,4,5
67,4,5
68,4,5
69,4,5
70,4,4
71,1,1
72,3,3
73,4,4
74,2,1
75,4,3
76,3,5
77,1,1
78,1,1
79,1,1
80,1,1
81,5,5
82,4,3
83,3,3
84,3,3
85,5,3
86,3,3
87,1,2
88,1,3
89,4,3
90,2,2
91,5,3
92,3,1
93,1,2
94,5,3
95,1,1
96,4,3
97,4,4
98,4,5
99,4,5
100,4,4
101,4,5
102,4,4
103,3,5
104,5,5
105,4,5
106,4,5
107,5,5
108,4,4
109,3,3
110,4,5
111,3,3
112,4,4
113,4,5
114,5,5
115,5,5
116,4,4
117,4,4
118,4,5
119,4,4
120,4,5
121,4,5
122,3,3
123,5,5
124,4,4
125,4,5
126,4,5
127,4,4
128,4,4
129,3,4
130,4,5
131,4,5
132,4,3
133,3,3
134,5,5
135,5,5
136,4,4
137,3,4
138,4,5
139,4,5
140,3,3
141,3,4
142,4,5
143,5,5
144,3,4
145,4,5
146,4,4
147,5,5
148,5,5
149,4,4
150,4,5
151,1,1
152,3,2
153,5,4
154,3,2
155,2,2
156,5,5
157,3,2
158,2,1
159,1,3
160,4,5
161,5,4
162,5,4
163,1,1
164,1,2
165,2,1
166,1,1
167,3,3
168,1,2
169,2,1
170,1,1
171,1,2
172,2,2
173,5,4
174,5,5
175,4,5
176,5,3
177,1,1
178,5,4
179,4,3
180,4,4
181,4,4
182,3,4
183,1,1
184,1,1
185,4,4
186,3,4
187,3,2
188,4,4
189,4,4
190,4,4
191,4,3
192,1,1
193,1,2
194,1,1
195,1,1
196,2,1
197,5,5
198,5,4
199,4,3
200,2,2
201,3,4
202,2,2
203,2,1
204,3,4
205,5,5
206,1,1
207,2,1
208,1,1
209,1,2
210,4,5
211,1,2
212,5,4
213,2,3
214,5,4
215,3,2
216,2,1
217,1,1
218,1,1
219,5,5
220,2,1
221,5,5
222,5,4
223,4,3
224,1,1
225,1,1
226,2,1
227,1,1
228,5,5
229,3,2
230,3,2
231,3,2
232,4,3
233,1,1
234,5,4
235,1,1
236,2,2
237,3,4
238,1,1
239,3,3
240,5,5
241,5,4
242,3,2
243,5,5
244,3,2
245,5,4
246,3,2
247,4,3
248,2,3
249,3,2
250,2,1
251,3,3
252,3,3
253,4,3
254,3,4
255,4,4
256,4,3
257,3,2
258,3,4
259,2,2
260,4,5
261,4,4
262,5,4
263,4,4
264,2,1
265,3,2
266,3,2
267,5,4
268,4,3
269,3,2
270,3,3
271,4,2
272,2,1
273,3,2
274,3,1
275,5,3
276,1,1
277,2,1
278,3,2
279,1,1
280,5,4
281,2,1
282,1,1
283,5,4
284,1,1
285,3,4
286,3,1
287,5,5
288,3,2
289,5,4
290,2,3
291,4,3
292,5,4
293,3,2
294,1,1
295,4,2
