ID,WJM,ZP
1,4,4
2,4,3
3,4,5
4,4,3
5,1,1
6,1,1
7,4,3
8,3,3
9,3,3
10,4,3
11,1,1
12,2,3
13,3,4
14,5,5
15,4,4
16,4,5
17,4,5
18,5,5
19,4,5
20,1,1
21,4,4
22,4,5
23,4,4
24,1,1
25,2,2
26,3,3
27,1,2
28,4,5
29,4,3
30,4,3
31,4,4
32,4,4
33,4,5
34,4,3
35,3,2
36,4,4
37,1,1
38,1,1
39,4,4
40,3,3
41,2,3
42,4,4
43,4,4
44,2,3
45,4,4
46,5,5
47,4,5
48,5,5
49,4,4
50,5,4
51,4,5
52,5,5
53,4,3
54,4,4
55,4,3
56,5,4
57,5,5
58,5,5
59,3,3
60,5,5
61,4,4
62,4,5
63,3,3
64,1,2
65,4,5
66,4,5
67,4,4
68,4,3
69,4,4
70,3,4
71,4,3
72,1,1
73,4,5
74,5,4
75,3,3
76,5,5
77,5,5
78,1,1
79,1,1
80,5,5
81,1,1
82,1,1
83,5,5
84,5,5
85,1,1
86,5,5
87,5,5
88,1,1
89,5,5
90,5,5
91,5,5
92,1,1
93,5,5
94,1,1
95,1,1
96,5,5
97,4,4
98,4,5
99,4,4
100,4,3
101,5,3
102,4,4
103,4,4
104,4,4
105,4,5
106,4,5
107,4,5
108,4,5
109,4,4
110,4,4
111,4,3
112,3,4
113,5,5
114,4,5
115,4,5
116,4,5
117,4,4
118,4,3
119,4,5
120,5,5
121,5,5
122,4,4
123,4,5
124,1,1
125,1,1
126,3,4
127,2,3
128,3,4
129,1,1
130,4,3
131,3,3
132,3,3
133,4,4
134,3,3
135,4,4
136,4,4
137,4,5
138,3,2
139,4,4
140,4,4
141,4,4
142,4,4
143,2,4
144,5,5
145,3,4
146,5,5
147,4,5
148,1,2
149,4,4
150,1,1
151,1,1
152,2,3
153,1,1
154,1,2
155,2,3
156,3,4
157,4,5
158,3,3
159,4,5
160,4,5
161,4,3
162,4,3
163,4,5
164,2,3
165,2,3
166,3,3
167,3,4
168,4,4
169,3,3
170,2,3
171,1,2
172,2,3
173,4,4
174,4,3
175,2,3
176,4,5
177,4,5
178,4,3
179,4,4
180,3,4
181,3,4
182,1,1
183,4,4
184,3,4
185,4,5
186,4,5
187,4,3
188,4,4
189,3,2
190,1,1
191,3,2
192,2,2
193,1,2
194,4,4
195,4,5
196,1,1
197,3,2
198,3,4
199,4,5
200,2,2
201,5,5
202,4,5
203,4,4
204,4,5
205,4,5
206,3,2
207,2,2
208,2,2
209,3,3
210,4,5
211,2,2
212,1,2
213,4,4
214,4,5
215,3,2
216,1,1
217,4,5
218,1,1
219,1,1
220,4,5
221,4,5
222,4,5
223,4,5
224,1,1
225,4,5
226,1,1
227,4,5
228,4,5
229,1,1
230,4,5
231,1,1
232,4,5
233,1,1
234,1,1
235,1,1
236,4,5
237,4,5
238,4,5
239,4,5
240,4,5
241,4,5
242,4,5
243,5,5
244,1,1
245,4,2
246,5,2
247,5,4
248,4,4
249,3,4
250,4,3
251,4,4
252,3,3
253,2,3
254,4,4
255,4,4
256,2,2
257,1,1
258,4,5
259,4,3
260,4,5
261,2,1
262,3,4
263,4,4
264,1,2
265,4,4
266,4,5
267,5,5
268,3,3
269,2,3
270,4,3
271,4,4
272,3,4
273,2,3
274,2,3
275,4,4
276,2,4
277,3,3
278,4,4
279,4,5
280,4,3
281,3,3
282,3,3
283,4,4
284,2,3
285,2,2
286,2,3
287,3,3
288,4,4
289,5,5
290,5,5
291,4,4
292,4,5
293,4,5
294,1,1
295,4,3
