ID,WJM,ZP
1,3,4
2,4,4
3,4,5
4,5,3
5,3,3
6,1,1
7,1,1
8,2,3
9,3,3
10,2,3
11,4,3
12,4,3
13,4,4
14,4,5
15,5,5
16,5,5
17,4,5
18,5,5
19,4,5
20,3,4
21,4,4
22,4,5
23,4,3
24,5,4
25,2,3
26,1,2
27,1,1
28,4,4
29,4,3
30,4,4
31,5,4
32,5,5
33,4,5
34,4,5
35,5,5
36,3,3
37,5,5
38,3,3
39,3,3
40,4,4
41,4,4
42,4,4
43,4,3
44,3,4
45,5,5
46,5,5
47,4,4
48,4,5
49,4,4
50,4,4
51,5,5
52,4,5
53,3,4
54,4,4
55,2,2
56,3,2
57,4,4
58,4,4
59,3,3
60,4,4
61,3,3
62,4,4
63,4,3
64,4,4
65,4,5
66,4,5
67,4,4
68,3,4
69,3,4
70,4,4
71,1,1
72,1,1
73,5,5
74,4,4
75,4,4
76,5,5
77,3,3
78,1,1
79,1,1
80,5,4
81,4,4
82,2,3
83,1,2
84,1,1
85,3,3
86,4,2
87,1,1
88,1,1
89,2,2
90,4,3
91,3,3
92,1,2
93,1,1
94,4,3
95,5,4
96,5,5
97,5,4
98,4,4
99,4,4
100,4,4
101,4,4
102,4,3
103,4,4
104,4,4
105,4,5
106,4,3
107,5,5
108,4,4
109,2,3
110,4,5
111,4,3
112,4,4
113,3,5
114,4,5
115,4,4
116,4,4
117,3,4
118,5,5
119,4,4
120,4,5
121,5,5
122,4,4
123,5,5
124,4,4
125,3,3
126,3,4
127,5,5
128,3,4
129,4,4
130,4,5
131,4,4
132,4,3
133,4,4
134,4,4
135,4,4
136,5,5
137,4,3
138,2,2
139,4,3
140,4,4
141,4,3
142,3,4
143,3,3
144,4,4
145,3,3
146,4,5
147,4,4
148,1,1
149,1,1
150,2,2
151,1,1
152,1,1
153,5,4
154,2,2
155,3,4
156,4,3
157,3,2
158,1,1
159,4,4
160,4,4
161,4,4
162,5,4
163,4,3
164,5,4
165,5,5
166,4,3
167,4,4
168,5,4
169,4,4
170,4,3
171,5,3
172,2,1
173,5,5
174,1,1
175,5,4
176,5,5
177,3,4
178,3,3
179,5,4
180,5,4
181,4,3
182,4,3
183,5,4
184,4,3
185,5,4
186,5,4
187,4,3
188,4,4
189,5,5
190,5,4
191,2,1
192,2,3
193,4,3
194,4,4
195,4,3
196,1,2
197,2,1
198,2,3
199,5,5
200,3,4
201,5,4
202,4,3
203,3,2
204,5,4
205,3,4
206,3,2
207,2,1
208,3,2
209,1,1
210,5,4
211,3,3
212,5,4
213,2,4
214,1,1
215,2,3
216,4,5
217,5,4
218,4,4
219,4,4
220,5,4
221,2,2
222,1,2
223,4,3
224,5,4
225,3,2
226,5,4
227,5,4
228,3,4
229,4,4
230,5,4
231,5,4
232,4,3
233,5,4
234,4,5
235,4,4
236,3,4
237,5,4
238,4,4
239,1,1
240,3,3
241,5,4
242,4,4
243,5,4
244,4,4
245,5,4
246,4,4
247,5,5
248,3,4
249,4,5
250,3,4
251,5,5
252,1,1
253,2,1
254,5,4
255,5,4
256,5,2
257,1,1
258,4,3
259,4,3
260,5,5
261,4,3
262,4,3
263,3,3
264,2,1
265,1,1
266,5,5
267,5,4
268,4,4
269,3,2
270,2,2
271,3,4
272,5,4
273,4,4
274,3,2
275,4,4
276,5,4
277,5,4
278,5,4
279,5,4
280,3,4
281,3,3
282,3,3
283,5,4
284,5,4
285,5,4
286,1,1
287,3,2
288,3,2
289,5,5
290,5,3
291,2,1
292,5,5
293,4,4
294,3,4
295,1,1
